Pred_Factor1,Pred_Factor2,Pred_Factor3,Pred_Factor4,Pred_Factor5,FID,Phenotype
0.42797893,0.20875421,0.113170624,0.069049805,0.32349348,HG03907,0
0.0110194385,0.08659473,0.76208097,0.8313134,0.037331372,HG02790,0
0.007744223,0.07796347,0.80819213,0.87390435,0.029420465,HG00128,0
0.010675997,0.08192667,0.7680501,0.83532023,0.035516202,HG00278,0
0.0051929057,0.06877464,0.84706867,0.9110525,0.02245301,HG00269,0
0.0063260794,0.06698084,0.83096623,0.89334494,0.023902833,NA20881,0
0.02350548,0.09408823,0.61104834,0.6756767,0.057083607,NA21097,0
0.10413745,0.12843409,0.32352,0.2974919,0.13345832,NA20850,0
0.004362732,0.06808126,0.8640164,0.9247939,0.020445108,HG03931,0
0.055993617,0.10778856,0.43472782,0.44546336,0.09298977,HG04159,0
